IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.66.3,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,19423 kB/s
47.238.6.58,2053,true,HKG,Asia Pacific,Hong Kong,71 ms,19240 kB/s
8.217.239.116,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,16104 kB/s
47.243.206.150,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,15727 kB/s
47.243.26.83,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,14085 kB/s
47.76.227.128,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,12889 kB/s
47.76.192.24,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,12856 kB/s
8.217.127.73,2053,true,HKG,Asia Pacific,Hong Kong,57 ms,12580 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,12421 kB/s
8.210.65.1,2087,true,HKG,Asia Pacific,Hong Kong,54 ms,12009 kB/s
47.242.202.230,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,11553 kB/s
47.76.37.57,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,11322 kB/s
47.76.37.57,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,11267 kB/s
47.76.214.139,2087,true,HKG,Asia Pacific,Hong Kong,55 ms,11205 kB/s
47.76.26.26,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,10873 kB/s
8.219.42.72,2096,true,SIN,Asia Pacific,Singapore,87 ms,10688 kB/s
8.219.42.72,443,true,SIN,Asia Pacific,Singapore,88 ms,10388 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,10098 kB/s
47.76.33.40,2083,true,HKG,Asia Pacific,Hong Kong,70 ms,9847 kB/s
47.243.26.83,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,9546 kB/s
47.76.26.26,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,9162 kB/s
47.76.227.128,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,8865 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,213 ms,8851 kB/s
47.236.232.148,2087,true,SIN,Asia Pacific,Singapore,220 ms,8578 kB/s
47.237.95.13,2083,true,SIN,Asia Pacific,Singapore,225 ms,8523 kB/s
47.238.35.50,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,8300 kB/s
47.245.96.80,2083,true,SIN,Asia Pacific,Singapore,239 ms,8179 kB/s
47.237.121.38,8443,true,SIN,Asia Pacific,Singapore,217 ms,8034 kB/s
47.237.95.156,2087,true,SIN,Asia Pacific,Singapore,217 ms,7826 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,219 ms,7572 kB/s
47.76.33.40,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,7390 kB/s
47.76.227.128,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,7277 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,227 ms,7261 kB/s
47.76.33.40,2053,true,HKG,Asia Pacific,Hong Kong,79 ms,7007 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,225 ms,6893 kB/s
47.76.37.57,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,6782 kB/s
47.243.27.217,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,6725 kB/s
8.219.177.205,2053,true,SIN,Asia Pacific,Singapore,215 ms,6648 kB/s
8.217.121.207,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,6594 kB/s
47.76.37.57,2096,true,HKG,Asia Pacific,Hong Kong,70 ms,6566 kB/s
47.238.40.58,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,6508 kB/s
8.219.111.147,8443,true,SIN,Asia Pacific,Singapore,227 ms,6504 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,213 ms,6424 kB/s
47.76.227.128,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,6405 kB/s
47.236.130.95,2087,true,SIN,Asia Pacific,Singapore,223 ms,6296 kB/s
8.219.78.188,2053,true,SIN,Asia Pacific,Singapore,226 ms,6281 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,215 ms,6243 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,223 ms,6116 kB/s
8.219.107.135,2083,true,SIN,Asia Pacific,Singapore,221 ms,6070 kB/s
47.242.176.237,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,6052 kB/s
47.237.125.8,2083,true,SIN,Asia Pacific,Singapore,223 ms,6031 kB/s
8.222.156.242,2096,true,SIN,Asia Pacific,Singapore,214 ms,5994 kB/s
8.219.104.37,2096,true,SIN,Asia Pacific,Singapore,218 ms,5993 kB/s
47.236.80.110,2053,true,SIN,Asia Pacific,Singapore,224 ms,5981 kB/s
8.222.156.242,2087,true,SIN,Asia Pacific,Singapore,214 ms,5952 kB/s
8.219.177.205,2096,true,SIN,Asia Pacific,Singapore,225 ms,5929 kB/s
47.245.96.80,2087,true,SIN,Asia Pacific,Singapore,232 ms,5887 kB/s
47.237.95.156,2053,true,SIN,Asia Pacific,Singapore,218 ms,5875 kB/s
47.237.95.146,2083,true,SIN,Asia Pacific,Singapore,222 ms,5834 kB/s
47.236.170.225,2083,true,SIN,Asia Pacific,Singapore,215 ms,5745 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,221 ms,5722 kB/s
8.222.193.65,2083,true,SIN,Asia Pacific,Singapore,210 ms,5720 kB/s
47.236.130.95,8443,true,SIN,Asia Pacific,Singapore,222 ms,5700 kB/s
8.219.122.55,2053,true,SIN,Asia Pacific,Singapore,222 ms,5663 kB/s
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,5655 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,227 ms,5642 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,219 ms,5635 kB/s
8.219.114.201,8443,true,SIN,Asia Pacific,Singapore,219 ms,5601 kB/s
8.222.136.247,2087,true,SIN,Asia Pacific,Singapore,219 ms,5563 kB/s
47.243.27.217,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,5539 kB/s
47.245.96.80,2053,true,SIN,Asia Pacific,Singapore,232 ms,5508 kB/s
8.219.198.139,2083,true,SIN,Asia Pacific,Singapore,217 ms,5472 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,220 ms,5458 kB/s
47.237.125.8,2087,true,SIN,Asia Pacific,Singapore,224 ms,5445 kB/s
8.210.156.6,2083,true,HKG,Asia Pacific,Hong Kong,69 ms,5423 kB/s
47.245.105.224,8443,true,SIN,Asia Pacific,Singapore,232 ms,5378 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,211 ms,5361 kB/s
47.236.97.90,2083,true,SIN,Asia Pacific,Singapore,220 ms,5314 kB/s
47.76.26.26,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,5306 kB/s
47.76.26.26,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,5299 kB/s
47.76.146.1,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,5291 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,221 ms,5245 kB/s
47.237.92.26,2083,true,SIN,Asia Pacific,Singapore,232 ms,5225 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,5200 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,222 ms,5185 kB/s
47.237.121.38,2053,true,SIN,Asia Pacific,Singapore,227 ms,5180 kB/s
8.219.199.220,2087,true,SIN,Asia Pacific,Singapore,239 ms,5172 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,218 ms,5159 kB/s
8.219.114.201,2053,true,SIN,Asia Pacific,Singapore,217 ms,5154 kB/s
47.236.118.216,2083,true,SIN,Asia Pacific,Singapore,216 ms,5142 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,219 ms,5138 kB/s
47.238.35.50,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,5135 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,220 ms,5096 kB/s
47.76.26.26,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,5093 kB/s
8.222.183.242,2096,true,SIN,Asia Pacific,Singapore,226 ms,5072 kB/s
8.210.156.6,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,5070 kB/s
8.222.137.192,2096,true,SIN,Asia Pacific,Singapore,227 ms,5009 kB/s
47.236.171.205,2053,true,SIN,Asia Pacific,Singapore,217 ms,5006 kB/s
8.219.60.54,2096,true,SIN,Asia Pacific,Singapore,217 ms,4996 kB/s
47.237.121.38,2087,true,SIN,Asia Pacific,Singapore,212 ms,4990 kB/s
47.238.6.58,2087,true,HKG,Asia Pacific,Hong Kong,71 ms,4988 kB/s
8.222.183.242,2087,true,SIN,Asia Pacific,Singapore,214 ms,4981 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,222 ms,4969 kB/s
8.219.199.220,2053,true,SIN,Asia Pacific,Singapore,228 ms,4945 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,222 ms,4940 kB/s
8.222.183.242,8443,true,SIN,Asia Pacific,Singapore,214 ms,4937 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,227 ms,4931 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,218 ms,4926 kB/s
47.236.164.215,2053,true,SIN,Asia Pacific,Singapore,219 ms,4921 kB/s
8.219.77.222,2053,true,SIN,Asia Pacific,Singapore,218 ms,4911 kB/s
8.222.193.65,443,true,SIN,Asia Pacific,Singapore,214 ms,4881 kB/s
8.219.86.200,8443,true,SIN,Asia Pacific,Singapore,221 ms,4839 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,217 ms,4833 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,230 ms,4830 kB/s
8.219.177.205,8443,true,SIN,Asia Pacific,Singapore,215 ms,4817 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,229 ms,4815 kB/s
8.222.156.242,8443,true,SIN,Asia Pacific,Singapore,217 ms,4782 kB/s
47.245.96.80,8443,true,SIN,Asia Pacific,Singapore,228 ms,4762 kB/s
47.237.10.1,2083,true,SIN,Asia Pacific,Singapore,226 ms,4725 kB/s
8.219.114.201,2087,true,SIN,Asia Pacific,Singapore,217 ms,4714 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,231 ms,4711 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,232 ms,4711 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,219 ms,4694 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,225 ms,4690 kB/s
47.236.232.148,8443,true,SIN,Asia Pacific,Singapore,232 ms,4686 kB/s
8.219.122.55,2096,true,SIN,Asia Pacific,Singapore,220 ms,4684 kB/s
8.219.111.147,2087,true,SIN,Asia Pacific,Singapore,227 ms,4677 kB/s
47.245.96.80,2096,true,SIN,Asia Pacific,Singapore,231 ms,4645 kB/s
47.243.27.217,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,4630 kB/s
47.236.80.110,8443,true,SIN,Asia Pacific,Singapore,215 ms,4603 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,216 ms,4595 kB/s
8.219.122.55,8443,true,SIN,Asia Pacific,Singapore,221 ms,4587 kB/s
47.242.176.237,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,4578 kB/s
8.219.122.55,2083,true,SIN,Asia Pacific,Singapore,224 ms,4561 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,220 ms,4558 kB/s
8.210.65.1,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,4535 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,217 ms,4514 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,226 ms,4501 kB/s
8.219.111.147,2083,true,SIN,Asia Pacific,Singapore,217 ms,4489 kB/s
8.219.139.13,2053,true,SIN,Asia Pacific,Singapore,224 ms,4463 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,223 ms,4421 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,225 ms,4418 kB/s
8.222.137.192,2083,true,SIN,Asia Pacific,Singapore,222 ms,4414 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,221 ms,4411 kB/s
47.245.105.224,2087,true,SIN,Asia Pacific,Singapore,229 ms,4404 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,226 ms,4401 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,228 ms,4384 kB/s
47.76.214.139,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,4380 kB/s
8.219.198.139,2053,true,SIN,Asia Pacific,Singapore,218 ms,4374 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,217 ms,4347 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,228 ms,4342 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,225 ms,4337 kB/s
8.219.77.222,2083,true,SIN,Asia Pacific,Singapore,225 ms,4316 kB/s
8.217.127.73,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,4299 kB/s
8.218.11.90,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,4261 kB/s
8.222.137.192,8443,true,SIN,Asia Pacific,Singapore,220 ms,4249 kB/s
8.210.156.6,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,4236 kB/s
47.238.6.58,8443,true,HKG,Asia Pacific,Hong Kong,76 ms,4224 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,226 ms,4223 kB/s
8.219.114.201,443,true,SIN,Asia Pacific,Singapore,224 ms,4210 kB/s
8.222.193.65,2053,true,SIN,Asia Pacific,Singapore,215 ms,4210 kB/s
8.222.137.192,2053,true,SIN,Asia Pacific,Singapore,221 ms,4201 kB/s
47.243.27.217,8443,true,HKG,Asia Pacific,Hong Kong,57 ms,4188 kB/s
47.237.0.31,2053,true,SIN,Asia Pacific,Singapore,218 ms,4165 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,220 ms,4147 kB/s
47.236.118.216,2087,true,SIN,Asia Pacific,Singapore,229 ms,4130 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,216 ms,4120 kB/s
47.237.84.173,2096,true,SIN,Asia Pacific,Singapore,217 ms,4114 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,222 ms,4106 kB/s
47.238.52.160,80,true,SIN,Asia Pacific,Singapore,67 ms,4079 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,221 ms,4055 kB/s
47.242.176.237,2083,true,HKG,Asia Pacific,Hong Kong,53 ms,4054 kB/s
47.76.204.76,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,4047 kB/s
47.76.254.36,80,true,SIN,Asia Pacific,Singapore,59 ms,4035 kB/s
47.243.26.83,2096,true,HKG,Asia Pacific,Hong Kong,71 ms,4034 kB/s
47.242.79.71,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,4034 kB/s
47.236.125.62,2096,true,KIX,Asia Pacific,Osaka,307 ms,3999 kB/s
8.219.114.201,2083,true,SIN,Asia Pacific,Singapore,216 ms,3994 kB/s
8.219.77.222,2096,true,SIN,Asia Pacific,Singapore,214 ms,3984 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,3970 kB/s
47.238.44.224,80,true,SIN,Asia Pacific,Singapore,63 ms,3919 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,218 ms,3909 kB/s
8.219.114.201,2096,true,SIN,Asia Pacific,Singapore,220 ms,3901 kB/s
47.242.79.71,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,3898 kB/s
47.76.146.1,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,3851 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,224 ms,3744 kB/s
8.222.193.65,2087,true,SIN,Asia Pacific,Singapore,216 ms,3730 kB/s
47.242.59.216,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,3717 kB/s
47.238.48.58,80,true,SIN,Asia Pacific,Singapore,56 ms,3714 kB/s
47.76.245.164,80,true,SIN,Asia Pacific,Singapore,68 ms,3674 kB/s
47.242.79.71,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,3628 kB/s
8.222.137.192,2087,true,SIN,Asia Pacific,Singapore,225 ms,3598 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,216 ms,3567 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,222 ms,3545 kB/s
8.219.60.54,2087,true,SIN,Asia Pacific,Singapore,213 ms,3413 kB/s
8.222.193.65,2096,true,SIN,Asia Pacific,Singapore,215 ms,3383 kB/s
8.217.127.73,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,3362 kB/s
47.236.130.95,2053,true,SIN,Asia Pacific,Singapore,220 ms,3357 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,229 ms,3343 kB/s
47.239.13.168,80,true,SIN,Asia Pacific,Singapore,69 ms,3336 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,217 ms,3295 kB/s
47.242.176.237,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,3295 kB/s
8.219.60.54,2083,true,SIN,Asia Pacific,Singapore,221 ms,3288 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,217 ms,3273 kB/s
8.219.111.147,2053,true,SIN,Asia Pacific,Singapore,224 ms,3270 kB/s
47.238.36.145,80,true,SIN,Asia Pacific,Singapore,63 ms,3266 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,224 ms,3250 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,73 ms,3241 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,227 ms,3231 kB/s
8.218.132.209,80,true,SIN,Asia Pacific,Singapore,59 ms,3186 kB/s
47.238.36.250,80,true,SIN,Asia Pacific,Singapore,66 ms,3180 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,219 ms,3171 kB/s
47.245.105.224,2053,true,SIN,Asia Pacific,Singapore,231 ms,3119 kB/s
8.219.60.54,2053,true,SIN,Asia Pacific,Singapore,219 ms,3110 kB/s
47.243.206.150,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,3107 kB/s
8.218.204.128,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,2994 kB/s
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,2988 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,2980 kB/s
47.76.33.40,2087,true,HKG,Asia Pacific,Hong Kong,68 ms,2942 kB/s
8.217.127.73,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,2883 kB/s
47.243.206.150,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,2841 kB/s
47.239.12.227,80,true,SIN,Asia Pacific,Singapore,68 ms,2831 kB/s
8.222.193.65,8443,true,SIN,Asia Pacific,Singapore,210 ms,2829 kB/s
47.76.33.40,8443,true,HKG,Asia Pacific,Hong Kong,92 ms,2774 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,222 ms,2759 kB/s
47.76.214.139,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,2655 kB/s
47.236.170.225,8443,true,SIN,Asia Pacific,Singapore,219 ms,2465 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,214 ms,2425 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,218 ms,2415 kB/s
47.76.214.139,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,2407 kB/s
47.242.79.71,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,2405 kB/s
47.242.176.237,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,2396 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,2326 kB/s
8.218.204.128,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,2300 kB/s
47.242.59.216,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,2258 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,2167 kB/s
47.236.130.95,443,true,SIN,Asia Pacific,Singapore,218 ms,2161 kB/s
8.210.207.214,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,2076 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,72 ms,2074 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,225 ms,1951 kB/s
47.236.145.85,2087,true,SIN,Asia Pacific,Singapore,217 ms,1721 kB/s
47.242.202.230,2087,true,HKG,Asia Pacific,Hong Kong,54 ms,1586 kB/s
47.237.11.182,2053,true,SIN,Asia Pacific,Singapore,225 ms,1542 kB/s
47.76.146.1,2083,true,HKG,Asia Pacific,Hong Kong,73 ms,1470 kB/s
8.210.207.214,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,1331 kB/s
47.242.202.230,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,1331 kB/s
47.76.32.108,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,1257 kB/s
8.218.204.128,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,1254 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,67 ms,1209 kB/s
47.76.192.24,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,1167 kB/s
47.76.32.108,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,1017 kB/s
47.57.13.107,443,true,HKG,Asia Pacific,Hong Kong,71 ms,1017 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,236 ms,958 kB/s
47.242.202.230,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,924 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,71 ms,915 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,74 ms,825 kB/s
47.76.32.108,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,713 kB/s
47.238.52.240,80,true,SIN,Asia Pacific,Singapore,54 ms,713 kB/s
47.242.202.230,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,656 kB/s
47.236.181.185,8443,true,SIN,Asia Pacific,Singapore,216 ms,617 kB/s
47.76.49.246,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,588 kB/s
47.76.218.163,443,true,HKG,Asia Pacific,Hong Kong,61 ms,505 kB/s
149.129.8.215,443,true,SJC,North America,San Jose,90 ms,464 kB/s
47.243.206.150,2096,true,HKG,Asia Pacific,Hong Kong,69 ms,432 kB/s
47.76.243.157,80,true,SIN,Asia Pacific,Singapore,61 ms,428 kB/s
47.76.32.108,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,361 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,329 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,60 ms,313 kB/s
47.243.206.150,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,269 kB/s
47.57.233.126,443,true,SJC,North America,San Jose,66 ms,259 kB/s
47.76.178.146,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,249 kB/s
47.57.14.118,443,true,SJC,North America,San Jose,64 ms,227 kB/s
47.76.32.108,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,188 kB/s
47.236.145.85,443,true,SIN,Asia Pacific,Singapore,229 ms,153 kB/s
8.210.34.188,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,147 kB/s
47.242.59.216,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,115 kB/s
8.218.204.128,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,108 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,60 ms,14 kB/s
47.250.36.83,80,true,SIN,Asia Pacific,Singapore,163 ms,4 kB/s
47.250.157.38,80,true,SIN,Asia Pacific,Singapore,156 ms,1 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.250.150.193,80,true,SIN,Asia Pacific,Singapore,168 ms,0 kB/s
8.210.34.188,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
47.76.146.1,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,0 kB/s
47.236.145.85,2053,true,SIN,Asia Pacific,Singapore,231 ms,0 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,229 ms,0 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,55 ms,0 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,69 ms,0 kB/s
47.76.192.24,2053,true,HKG,Asia Pacific,Hong Kong,81 ms,0 kB/s
8.210.207.214,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
8.210.207.214,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.250.176.199,80,true,SIN,Asia Pacific,Singapore,160 ms,0 kB/s
8.219.113.232,2087,true,SIN,Asia Pacific,Singapore,214 ms,0 kB/s
8.210.207.214,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
